Domain	Status	Genome Name	GOLD Project ID	GOLD Analysis Project ID	Submission ID	Ecosystem Category
Bacteria	Permanent Draft	Acinetobacter baumannii AB_TG2023	Gp0023747	Ga0020998	24929	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_TG2028	Gp0023777	Ga0020979	24910	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_TG2030	Gp0023778	Ga0020992	24923	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_TG2032	Gp0023780	Ga0020974	24905	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_TG2631	Gp0023781	Ga0020987	24918	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_TG27327	Gp0023783	Ga0020981	24912	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_TG27331	Gp0023784	Ga0020978	24909	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_TG27339	Gp0023786	Ga0020976	24907	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_TG27343	Gp0023787	Ga0020996	24927	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_TG5064	Gp0023870	Ga0020980	24911	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABIsac_ColiR	Gp0022004	Ga0020777	24708	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABIsac_ColiS	Gp0037495	Ga0020776	24707	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH1	Gp0010493	Ga0015708	18714	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH10	Gp0016359	Ga0015298	18301	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH11	Gp0016360	Ga0015297	18300	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH13	Gp0016362	Ga0015296	18299	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH14	Gp0016363	Ga0015295	18298	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH15	Gp0016364	Ga0015294	18297	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH16	Gp0016365	Ga0013989	16990	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH17	Gp0016366	Ga0013990	16991	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH18	Gp0016367	Ga0015228	18231	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH19	Gp0016368	Ga0015229	18232	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH2	Gp0010494	Ga0015709	18715	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH20	Gp0020543	Ga0015775	18782	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH22	Gp0016414	Ga0013986	16987	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH23	Gp0016415	Ga0013987	16988	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH24	Gp0016416	Ga0013988	16989	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH25	Gp0023915	Ga0014225	17230	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH26	Gp0023916	Ga0014224	17229	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH3	Gp0010495	Ga0015711	18717	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH4	Gp0010496	Ga0015712	18718	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH5	Gp0016310	Ga0014265	17270	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH6	Gp0016355	Ga0015301	18304	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ABNIH7	Gp0016356	Ga0015300	18303	Human
Bacteria	Finished	Acinetobacter baumannii AC12	Gp0022006	Ga0011985	12117	Human
Bacteria	Finished	Acinetobacter baumannii AC30	Gp0023917	Ga0012066	12318	Human
Bacteria	Finished	Acinetobacter baumannii AF-673	Gp0205813	Ga0174741	118083	Human
Bacteria	Finished	Acinetobacter baumannii ATCC 17978	Gp0000191	Ga0027307		Human
Bacteria	Permanent Draft	"Acinetobacter baumannii ATCC 19606, CIP 70.34"	Gp0032321	Ga0015644	18650	Human
Bacteria	Permanent Draft	"Acinetobacter baumannii ATCC 19606, CIP 70.34"	Gp0093265	Ga0055553	60753	Human
Bacteria	Permanent Draft	"Acinetobacter baumannii ATCC 19606, CIP 70.34"	Gp0004000	Ga0027308		Human
Bacteria	Permanent Draft	Acinetobacter baumannii BZICU-2	Gp0023475	Ga0020823	24754	Human
Bacteria	Permanent Draft	Acinetobacter baumannii Canada BC-1	Gp0008795	Ga0016101	19101	Human
Bacteria	Permanent Draft	Acinetobacter baumannii Canada BC-5	Gp0008640	Ga0014777	17786	Human
Bacteria	Finished	Acinetobacter baumannii HRAB-85	Gp0203420	Ga0175582	118162	Human
Bacteria	Permanent Draft	Acinetobacter baumannii IS-116	Gp0008745	Ga0016028	19028	Human
Bacteria	Permanent Draft	Acinetobacter baumannii IS-123	Gp0008676	Ga0014781	17790	Human
Bacteria	Permanent Draft	Acinetobacter baumannii IS-143	Gp0008710	Ga0016029	19029	Human
Bacteria	Permanent Draft	Acinetobacter baumannii IS-235	Gp0008544	Ga0016031	19031	Human
Bacteria	Permanent Draft	Acinetobacter baumannii IS-251	Gp0008545	Ga0016030	19030	Human
Bacteria	Permanent Draft	Acinetobacter baumannii IS-58	Gp0008520	Ga0014670	17678	Human
Bacteria	Finished	Acinetobacter baumannii KAB01	Gp0203483	Ga0175736	118476	Human
Bacteria	Finished	Acinetobacter baumannii KAB02	Gp0203482	Ga0175266	118298	Human
Bacteria	Finished	Acinetobacter baumannii KAB03	Gp0203480	Ga0175085	118107	Human
Bacteria	Finished	Acinetobacter baumannii KAB04	Gp0203481	Ga0175086	118106	Human
Bacteria	Finished	Acinetobacter baumannii KAB05	Gp0203484	Ga0175737	118478	Human
Bacteria	Finished	Acinetobacter baumannii KAB06	Gp0203478	Ga0175580	118163	Human
Bacteria	Finished	Acinetobacter baumannii KAB07	Gp0203479	Ga0175407	118520	Human
Bacteria	Finished	Acinetobacter baumannii KAB08	Gp0203477	Ga0175581	118161	Human
Bacteria	Finished	Acinetobacter baumannii MDR-TJ	Gp0008441	Ga0031976	36464	Human
Bacteria	Permanent Draft	Acinetobacter baumannii Naval-113	Gp0008782	Ga0014676	17684	Human
Bacteria	Permanent Draft	Acinetobacter baumannii Naval-17	Gp0008674	Ga0014778	17787	Human
Bacteria	Permanent Draft	Acinetobacter baumannii Naval-2	Gp0008813	Ga0014667	17675	Human
Bacteria	Permanent Draft	Acinetobacter baumannii Naval-21	Gp0008815	Ga0016363	19368	Human
Bacteria	Permanent Draft	Acinetobacter baumannii Naval-57	Gp0008842	Ga0016364	19369	Human
Bacteria	Permanent Draft	Acinetobacter baumannii Naval-78	Gp0008903	Ga0014953	17968	Human
Bacteria	Permanent Draft	Acinetobacter baumannii Naval-82	Gp0008814	Ga0014668	17676	Human
Bacteria	Permanent Draft	Acinetobacter baumannii NIPH 1362	Gp0034057	Ga0015356	18360	Human
Bacteria	Permanent Draft	Acinetobacter baumannii NIPH 190	Gp0034052	Ga0014055	17056	Human
Bacteria	Permanent Draft	Acinetobacter baumannii NIPH 201	Gp0034050	Ga0014049	17050	Human
Bacteria	Permanent Draft	Acinetobacter baumannii NIPH 2061	Gp0034054	Ga0015359	18363	Human
Bacteria	Permanent Draft	Acinetobacter baumannii NIPH 290	Gp0034032	Ga0014221	17226	Human
Bacteria	Permanent Draft	Acinetobacter baumannii NIPH 329	Gp0034047	Ga0014046	17047	Human
Bacteria	Permanent Draft	Acinetobacter baumannii NIPH 335	Gp0034048	Ga0014047	17048	Human
Bacteria	Permanent Draft	Acinetobacter baumannii NIPH 410	Gp0032318	Ga0031977	36568	Human
Bacteria	Permanent Draft	Acinetobacter baumannii NIPH 60	Gp0034051	Ga0014054	17055	Human
Bacteria	Permanent Draft	Acinetobacter baumannii NIPH 615	Gp0034055	Ga0015358	18362	Human
Bacteria	Permanent Draft	Acinetobacter baumannii NIPH 70	Gp0034033	Ga0014050	17051	Human
Bacteria	Permanent Draft	Acinetobacter baumannii OIFC0162	Gp0008519	Ga0016037	19037	Human
Bacteria	Permanent Draft	Acinetobacter baumannii OIFC035	Gp0008841	Ga0016365	19370	Human
Bacteria	Permanent Draft	Acinetobacter baumannii OIFC047	Gp0008900	Ga0014954	17969	Human
Bacteria	Permanent Draft	Acinetobacter baumannii OIFC065	Gp0008866	Ga0016360	19365	Human
Bacteria	Permanent Draft	Acinetobacter baumannii OIFC074	Gp0008543	Ga0014785	17794	Human
Bacteria	Permanent Draft	Acinetobacter baumannii OIFC087	Gp0008863	Ga0016369	19374	Human
Bacteria	Permanent Draft	Acinetobacter baumannii OIFC099	Gp0008864	Ga0016368	19373	Human
Bacteria	Permanent Draft	Acinetobacter baumannii OIFC109	Gp0008542	Ga0016152	19154	Human
Bacteria	Permanent Draft	Acinetobacter baumannii OIFC110	Gp0008709	Ga0016034	19034	Human
Bacteria	Permanent Draft	Acinetobacter baumannii OIFC111	Gp0008902	Ga0014952	17967	Human
Bacteria	Permanent Draft	Acinetobacter baumannii OIFC189	Gp0008639	Ga0014780	17789	Human
Bacteria	Permanent Draft	Acinetobacter baumannii OIFC338	Gp0008901	Ga0014955	17970	Human
Bacteria	Permanent Draft	Acinetobacter baumannii Perm	Gp0039027	Ga0031978	36757	Human
Bacteria	Finished	Acinetobacter baumannii TCDC-AB0715	Gp0009651	Ga0027311		Human
Bacteria	Permanent Draft	Acinetobacter baumannii UMB001	Gp0009335	Ga0019785	23876	Human
Bacteria	Permanent Draft	Acinetobacter baumannii UMB002	Gp0009336	Ga0019786	23877	Human
Bacteria	Permanent Draft	Acinetobacter baumannii UMB003	Gp0008951	Ga0019787	23878	Human
Bacteria	Permanent Draft	Acinetobacter baumannii W6976	Gp0009880	Ga0019799	23890	Human
Bacteria	Permanent Draft	Acinetobacter baumannii W7282	Gp0009856	Ga0019800	23891	Human
Bacteria	Permanent Draft	Acinetobacter baumannii WC-141	Gp0008747	Ga0014671	17679	Human
Bacteria	Permanent Draft	Acinetobacter baumannii WC-348	Gp0008781	Ga0014675	17683	Human
Bacteria	Permanent Draft	Acinetobacter baumannii WC-487	Gp0008779	Ga0014673	17681	Human
Bacteria	Permanent Draft	Acinetobacter baumannii WC-692	Gp0008746	Ga0014669	17677	Human
Bacteria	Permanent Draft	Acinetobacter baumannii WC-A-694	Gp0008816	Ga0016362	19367	Human
Bacteria	Permanent Draft	Acinetobacter baumannii WC-A-92	Gp0008865	Ga0016361	19366	Human
Bacteria	Finished	Acinetobacter baumannii XDR-BJ83	Gp0205124	Ga0175408	118464	Human
Bacteria	Finished	Acinetobacter baumannii ZW85-1	Gp0048194	Ga0022887	29886	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ZWS1122	Gp0023913	Ga0012065	12317	Human
Bacteria	Permanent Draft	Acinetobacter baumannii ZWS1219	Gp0023914	Ga0012064	12316	Human
Bacteria	Permanent Draft	"Acinetobacter bereziniae Brisou 64, LMG 1003"	Gp0009877	Ga0019795	23886	Human
Bacteria	Permanent Draft	Acinetobacter calcoaceticus RUH2202	Gp0004015	Ga0027313		Human
Bacteria	Permanent Draft	"Acinetobacter genomospecies 13TU A 267, NCTC 8102"	Gp0009878	Ga0019796	23887	Human
Bacteria	Permanent Draft	Acinetobacter gyllenbergii CIP 110306	Gp0034112	Ga0031989	36624	Human
Bacteria	Permanent Draft	Acinetobacter gyllenbergii MTCC 11365	Gp0042239	Ga0018233	22183	Human
Bacteria	Permanent Draft	Acinetobacter haemolyticus ATCC 19194	Gp0003499	Ga0027314		Human
Bacteria	Permanent Draft	Acinetobacter johnsonii CIP 64.6	Gp0033179	Ga0015867	18867	Human
Bacteria	Permanent Draft	Acinetobacter johnsonii SH046	Gp0004117	Ga0027315		Human
Bacteria	Permanent Draft	Acinetobacter johnsonii TG19605	Gp0024196	Ga0021017	24948	Human
Bacteria	Permanent Draft	Acinetobacter junii CIP 64.5	Gp0034171	Ga0015470	18475	Human
Bacteria	Permanent Draft	Acinetobacter junii SH205	Gp0004158	Ga0027316		Human
Bacteria	Permanent Draft	Acinetobacter junii TG19608	Gp0024198	Ga0021015	24946	Human
Bacteria	Permanent Draft	Acinetobacter lwoffii NCTC 5866	Gp0009855	Ga0019798	23889	Human
Bacteria	Permanent Draft	Acinetobacter lwoffii NCTC 5866	Gp0034176	Ga0016318	19323	Human
Bacteria	Permanent Draft	Acinetobacter lwoffii SH145	Gp0004159	Ga0027318		Human
Bacteria	Permanent Draft	Acinetobacter lwoffii TG19636	Gp0024199	Ga0021009	24940	Human
Bacteria	Permanent Draft	Acinetobacter lwoffii WJ10621	Gp0011269	Ga0019596	23683	Human
Bacteria	Permanent Draft	Acinetobacter nosocomialis 28F	Gp0102285	Ga0081667	73788	Human
Bacteria	Permanent Draft	Acinetobacter nosocomialis M2	Gp0076620	Ga0036894	54539	Human
Bacteria	Permanent Draft	"Acinetobacter parvus NIPH 384, DSM 16617"	Gp0010101	Ga0019803	23894	Human
Bacteria	Permanent Draft	Acinetobacter pittii 42F	Gp0102268	Ga0081666	71739	Human
Bacteria	Permanent Draft	Acinetobacter pittii TG6411	Gp0024255	Ga0021008	24939	Human
Bacteria	Permanent Draft	"Acinetobacter radioresistens FO-1, DSM 6976"	Gp0020359	Ga0014823	17835	Human
Bacteria	Permanent Draft	"Acinetobacter radioresistens FO-1, DSM 6976"	Gp0034160	Ga0014142	17144	Human
Bacteria	Permanent Draft	"Acinetobacter radioresistens FO-1, DSM 6976"	Gp0009933	Ga0019805	23896	Human
Bacteria	Permanent Draft	Acinetobacter radioresistens NIPH 2130	Gp0034161	Ga0014143	17145	Human
Bacteria	Permanent Draft	Acinetobacter radioresistens SH164	Gp0004189	Ga0027319		Human
Bacteria	Permanent Draft	Acinetobacter radioresistens SK82	Gp0004666	Ga0027320		Human
Bacteria	Permanent Draft	Acinetobacter radioresistens TG02010	Gp0024146	Ga0021007	24938	Human
Bacteria	Permanent Draft	Acinetobacter radioresistens WC-A-157	Gp0008677	Ga0014782	17791	Human
Bacteria	Permanent Draft	Acinetobacter schindleri NIPH 900	Gp0034061	Ga0031996	36612	Human
Bacteria	Permanent Draft	Acinetobacter schindleri TG19614	Gp0023730	Ga0021051	24982	Human
Bacteria	Permanent Draft	Acinetobacter sp. 528	Gp0023892	Ga0021021	24952	Human
Bacteria	Permanent Draft	Acinetobacter sp. CIP 102082	Gp0034273	Ga0032007	36604	Human
Bacteria	Permanent Draft	Acinetobacter sp. CIP 53.82	Gp0034261	Ga0032016	36595	Human
Bacteria	Permanent Draft	"Acinetobacter sp. Hugh 2212, NCTC 10304"	Gp0009935	Ga0019807	23898	Human
Bacteria	Permanent Draft	Acinetobacter sp. NCTC 7422	Gp0009934	Ga0019806	23897	Human
Bacteria	Permanent Draft	Acinetobacter sp. NIPH 809	Gp0033961	Ga0032037	36619	Human
Bacteria	Permanent Draft	Acinetobacter sp. NIPH 899	Gp0034272	Ga0032039	36603	Human
Bacteria	Permanent Draft	Acinetobacter sp. RUH2624	Gp0004001	Ga0024125	35475	Human
Bacteria	Permanent Draft	Acinetobacter sp. SH024	Gp0004016	Ga0027325		Human
Bacteria	Permanent Draft	Acinetobacter sp. TG19627	Gp0023893	Ga0021028	24959	Human
Bacteria	Permanent Draft	Acinetobacter sp. TG2027	Gp0023894	Ga0021032	24963	Human
Bacteria	Permanent Draft	Acinetobacter sp. TG27347	Gp0023788	Ga0020993	24924	Human
Bacteria	Permanent Draft	Acinetobacter sp. WC-743	Gp0008843	Ga0016367	19372	Human
Bacteria	Permanent Draft	"Acinetobacter ursingii E. Stranska, DSM 16037"	Gp0034191	Ga0032045	36571	Human
Bacteria	Permanent Draft	"Acinetobacter ursingii E. Stranska, DSM 16037"	Gp0009932	Ga0019804	23895	Human
Bacteria	Permanent Draft	Actinobacillus ureae ATCC 25976	Gp0004153	Ga0027347		Human
Bacteria	Permanent Draft	Actinobaculum massiliae ACS-171-V-Col2	Gp0005996	Ga0014044	17045	Human
Bacteria	Permanent Draft	Actinomadura chibensis NBRC 106107	Gp0023651	Ga0128522	89381	Human
Bacteria	Permanent Draft	Actinomadura latina NBRC 106108	Gp0023659	Ga0128525	129038	Human
Bacteria	Permanent Draft	Actinomadura pelletieri DSM 43383	Gp0194269	Ga0170373	124865	Human
Bacteria	Permanent Draft	Actinomyces cardiffensis F0333	Gp0004853	Ga0015587	18592	Human
Bacteria	Permanent Draft	Actinomyces coleocanis DSM 15436	Gp0003591	Ga0027353		Human
Bacteria	Permanent Draft	Actinomyces dentalis DSM 19115	Gp0013933	Ga0001364	13933	Human
Bacteria	Permanent Draft	Actinomyces europaeus ACS-120-V-Col10b	Gp0006165	Ga0016960	20468	Human
Bacteria	Permanent Draft	Actinomyces georgiae DSM 6843	Gp0013934	Ga0002360	13556	Human
Bacteria	Permanent Draft	Actinomyces georgiae F0490	Gp0012800	Ga0014600	17607	Human
Bacteria	Permanent Draft	Actinomyces gerencseriae DSM 6844	Gp0013935	Ga0002359	14115	Human
Bacteria	Permanent Draft	Actinomyces graevenitzii C83	Gp0004618	Ga0009727	8872	Human
Bacteria	Permanent Draft	Actinomyces graevenitzii F0530	Gp0039043	Ga0017978	21494	Human
Bacteria	Permanent Draft	Actinomyces israelii DSM 43320	Gp0013936	Ga0002358	36453	Human
Bacteria	Permanent Draft	Actinomyces johnsonii F0510	Gp0023660	Ga0017482	20997	Human
Bacteria	Permanent Draft	Actinomyces johnsonii F0542	Gp0039097	Ga0017979	21495	Human
Bacteria	Permanent Draft	Actinomyces massiliensis 4401292	Gp0020486	Ga0020477	24477	Human
Bacteria	Permanent Draft	Actinomyces massiliensis F0489	Gp0012801	Ga0016251	19256	Human
Bacteria	Permanent Draft	"Actinomyces naeslundii Howell 279, ATCC 12104"	Gp0010961	Ga0014859	17874	Human
Bacteria	Permanent Draft	Actinomyces neuii BVS029A5	Gp0006344	Ga0015464	18469	Human
Bacteria	Permanent Draft	Actinomyces neuii neuii DSM 8576	Gp0013937	Ga0002357	14157	Human
Bacteria	Permanent Draft	Actinomyces odontolyticus ATCC 17982	Gp0000877	Ga0027354		Human
Bacteria	Permanent Draft	Actinomyces odontolyticus F0309	Gp0004265	Ga0027355		Human
Bacteria	Permanent Draft	Actinomyces sp. F0330	Gp0005298	Ga0009737	8883	Human
Bacteria	Permanent Draft	Actinomyces sp. F0384	Gp0005421	Ga0009493	7594	Human
Bacteria	Permanent Draft	Actinomyces sp. HPA0247	Gp0020631	Ga0016993	20502	Human
Bacteria	Permanent Draft	Actinomyces sp. ICM39	Gp0011164	Ga0016505	19510	Human
Bacteria	Permanent Draft	Actinomyces sp. ICM47	Gp0011163	Ga0016088	19088	Human
Bacteria	Permanent Draft	Actinomyces sp. ICM54	Gp0020499	Ga0023803	30968	Human
Bacteria	Permanent Draft	Actinomyces sp. ICM58	Gp0011165	Ga0016084	19084	Human
Bacteria	Permanent Draft	Actinomyces sp. oral taxon 170 F0386	Gp0005362	Ga0027358		Human
Bacteria	Permanent Draft	Actinomyces sp. oral taxon 171 F0337	Gp0005420	Ga0027359		Human
Bacteria	Permanent Draft	Actinomyces sp. oral taxon 172 F0311	Gp0039098	Ga0017980	21496	Human
Bacteria	Permanent Draft	Actinomyces sp. oral taxon 178 F0338	Gp0004889	Ga0027360		Human
Bacteria	Permanent Draft	Actinomyces sp. oral taxon 180 F0310	Gp0003911	Ga0027361		Human
Bacteria	Permanent Draft	Actinomyces sp. oral taxon 448 F0400	Gp0005229	Ga0027362		Human
Bacteria	Permanent Draft	Actinomyces sp. oral taxon 848 F0332	Gp0005076	Ga0027363		Human
Bacteria	Permanent Draft	Actinomyces sp. oral taxon 877 F0543	Gp0023391	Ga0017483	20998	Human
Bacteria	Permanent Draft	Actinomyces sp. ph3	Gp0017133	Ga0020346	24346	Human
Bacteria	Permanent Draft	Actinomyces turicensis ACS-279-V-Col4	Gp0006345	Ga0015465	18470	Human
Bacteria	Permanent Draft	Actinomyces urogenitalis DSM 15434	Gp0003592	Ga0027364		Human
Bacteria	Permanent Draft	Actinomyces viscosus C505	Gp0004620	Ga0024137	35487	Human
Bacteria	Permanent Draft	Actinotignum schaalii DSM 15541	Gp0013925	Ga0002327	14693	Human
Bacteria	Permanent Draft	Actinotignum schaalii FB123-CNA-2	Gp0006343	Ga0016959	20467	Human
Bacteria	Permanent Draft	Actinotignum urinale DSM 15805	Gp0013926	Ga0002343	14728	Human
Bacteria	Finished	Adlercreutzia equolifaciens DSM 19450	Gp0030564	Ga0040474	54466	Human
Eukaryota	Permanent Draft	Aedes aegypti Liverpool	Gp0000112	Ga0027372		Human
Bacteria	Permanent Draft	Aerococcus christensenii DSM 15819	Gp0037465	Ga0128192	126067	Human
Bacteria	Finished	Aerococcus urinae ACS-120-V-Col10a	Gp0005695	Ga0027373		Human
Bacteria	Permanent Draft	Aerococcus urinae NBRC 15544	Gp0023556	Ga0128516	90136	Human
Bacteria	Permanent Draft	Aerococcus viridans LL1	Gp0020915	Ga0020518	24518	Human
Bacteria	Permanent Draft	Aeromicrobium massiliense JC14	Gp0016397	Ga0097816	73085	Human
Bacteria	Permanent Draft	Aeromonas aquariorum AAK1	Gp0034119	Ga0012951	14807	Human
Bacteria	Permanent Draft	Aeromonas caviae Ae398	Gp0007994	Ga0027377		Human
Bacteria	Permanent Draft	"Aeromonas diversa 2478-85, CECT 4254"	Gp0034274	Ga0015128	18128	Human
Bacteria	Permanent Draft	Aeromonas hydrophila 173	Gp0035036	Ga0021184	25116	Human
Bacteria	Permanent Draft	Aeromonas hydrophila 187	Gp0035037	Ga0021183	25115	Human
Bacteria	Permanent Draft	Aeromonas hydrophila 259	Gp0035038	Ga0021182	25114	Human
Bacteria	Permanent Draft	Aeromonas hydrophila SSU	Gp0011731	Ga0013958	16959	Human
Bacteria	Permanent Draft	Aeromonas schubertii ATCC 43700	Gp0134009	Ga0113981	99245	Human
Bacteria	Permanent Draft	Aeromonas sp. 159	Gp0033491	Ga0021147	25079	Human
Bacteria	Permanent Draft	Aeromonas veronii AER39	Gp0011727	Ga0013957	16958	Human
