Domain	Status	Genome Name	GOLD Project ID	GOLD Analysis Project ID	Submission ID	Habitat
Bacteria	Permanent Draft	Bacteroides sp. 3_2_5	Gp0003291	Ga0022941	30015	Human fecal
Bacteria	Permanent Draft	Bacteroides sp. 4_1_36	Gp0006051	Ga0027776		Human intestinal microflora
Bacteria	Permanent Draft	Bacteroides sp. 4_3_47FAA	Gp0003292	Ga0027777		Human fecal
Bacteria	Permanent Draft	Bacteroides sp. 9_1_42FAA	Gp0003643	Ga0027778		Human fecal
Bacteria	Permanent Draft	Bacteroides sp. D1	Gp0000184	Ga0027779		Human fecal
Bacteria	Permanent Draft	Bacteroides sp. D2	Gp0000227	Ga0024126	35476	Human fecal
Bacteria	Permanent Draft	Bacteroides sp. D20	Gp0004834	Ga0027780		Human intestinal microflora
Bacteria	Permanent Draft	Bacteroides stercoris ATCC 43183	Gp0001955	Ga0027783		Human fecal
Bacteria	Permanent Draft	Bacteroides uniformis ATCC 8492	Gp0000893	Ga0027785		Human fecal
Bacteria	Permanent Draft	Bacteroides vulgatus 274-1D4 (mouse strain)	Gp0012807	Ga0010143	1928	Human fecal
Bacteria	Permanent Draft	Bacteroides vulgatus RJ2H1	Gp0012806	Ga0010169	6801	Human fecal
Bacteria	Permanent Draft	Bacteroides vulgatus RJ2L3	Gp0012777	Ga0010104	6802	Human fecal
Bacteria	Permanent Draft	Bacteroidetes bacterium oral taxon 272 F0290	Gp0005022	Ga0016956	20464	Human intestinal microflora
Bacteria	Permanent Draft	Barnesiella intestinihominis YIT 11860	Gp0006545	Ga0013973	16974	Human intestinal microflora
Bacteria	Permanent Draft	Bifidobacterium adolescentis L2-32	Gp0000879	Ga0027806		Human fecal
Bacteria	Permanent Draft	Bifidobacterium angulatum DSM 20098	Gp0003294	Ga0024096	35446	Human fecal
Bacteria	Permanent Draft	Bifidobacterium angulatum DSM 20098	Gp0133143	Ga0112061	99068	Human fecal
Bacteria	Finished	Bifidobacterium animalis lactis AD011	Gp0002199	Ga0027807		Human fecal
Bacteria	Finished	Bifidobacterium animalis lactis CNCM I-2494	Gp0011681	Ga0027810		Human intestinal microflora
Bacteria	Permanent Draft	Bifidobacterium animalis lactis HN019	Gp0003353	Ga0027812		Human intestinal microflora
Bacteria	Permanent Draft	Bifidobacterium bifidum ATCC 29521	Gp0003295	Ga0017069	20581	Human fecal
Bacteria	Permanent Draft	Bifidobacterium bifidum NCIMB 41171	Gp0089104	Ga0032612	79244	Human fecal
Bacteria	Permanent Draft	Bifidobacterium bifidum NCIMB 41171	Gp0003335	Ga0027814		Human fecal
Bacteria	Finished	Bifidobacterium bifidum S17	Gp0008896	Ga0027816		Human intestinal microflora
Bacteria	Permanent Draft	Bifidobacterium bifidum SC555	Gp0021181	Ga0010001	8631	Human intestinal microflora
Bacteria	Permanent Draft	Bifidobacterium breve 26M2	Gp0011271	Ga0015740	18747	Human intestinal microflora
Bacteria	Permanent Draft	"Bifidobacterium breve DSM 20213, JCM 1192"	Gp0093275	Ga0128300	126151	Human fecal
Bacteria	Permanent Draft	"Bifidobacterium breve DSM 20213, JCM 1192"	Gp0003297	Ga0027818		Human fecal
Bacteria	Finished	Bifidobacterium breve JCM 7019	Gp0089001	Ga0057954	46881	Human intestinal microflora
Bacteria	Permanent Draft	Bifidobacterium breve JCM 7019	Gp0021184	Ga0010080	8634	Human intestinal microflora
Bacteria	Finished	Bifidobacterium breve S27	Gp0008554	Ga0023879	35052	Human intestinal microflora
Bacteria	Permanent Draft	Bifidobacterium breve SC154	Gp0021180	Ga0009936	8630	Human intestinal microflora
Bacteria	Permanent Draft	Bifidobacterium breve SC95	Gp0020881	Ga0010479	8628	Human intestinal microflora
Bacteria	Permanent Draft	"Bifidobacterium catenulatum DSM 16992, JCM 1194, LMG 11043"	Gp0003334	Ga0027820		Human fecal
Bacteria	Permanent Draft	Bifidobacterium dentium ATCC 27678	Gp0001041	Ga0027821		Human fecal
Bacteria	Permanent Draft	"Bifidobacterium gallicum DSM 20093, LMG 11596"	Gp0003644	Ga0024097	35447	Human intestinal microflora
Bacteria	Finished	Bifidobacterium longum infantis JCM 1222	Gp0004524	Ga0027829		Human fecal
Bacteria	Permanent Draft	Bifidobacterium longum infantis SC142	Gp0021165	Ga0010480	8629	Human intestinal microflora
Bacteria	Permanent Draft	Bifidobacterium longum longum ATCC 55813	Gp0004029	Ga0027830		Human fecal
Bacteria	Finished	Bifidobacterium longum longum F8	Gp0006063	Ga0027833		Human fecal
Bacteria	Permanent Draft	Bifidobacterium longum longum SC596	Gp0021182	Ga0009797	8632	Human intestinal microflora
Bacteria	Permanent Draft	Bifidobacterium longum longum SC664	Gp0021183	Ga0009993	8633	Human intestinal microflora
Bacteria	Finished	Bifidobacterium longum sv. Infantis	Gp0001039	Ga0027828		Human fecal
Bacteria	Permanent Draft	Bilophila sp. 4_1_30	Gp0004321	Ga0009675	8816	Human fecal
Bacteria	Permanent Draft	Bilophila wadsworthia 3_1_6	Gp0004182	Ga0024129	35479	Human fecal
Bacteria	Permanent Draft	"Blautia hansenii VPI C7-24, DSM 20583"	Gp0003378	Ga0024050	35399	Human fecal
Bacteria	Permanent Draft	Blautia hydrogenotrophica DSM 10507	Gp0001159	Ga0027841		Human intestinal microflora
Bacteria	Permanent Draft	Blautia obeum ATCC 29174	Gp0000918	Ga0030185		Human intestinal microflora
Bacteria	Permanent Draft	Brevibacterium senegalense JC43	Gp0017281	Ga0019634	23721	Human fecal
Bacteria	Permanent Draft	Bulleidia extructa W1219	Gp0005016	Ga0028047		Human intestinal microflora
Bacteria	Permanent Draft	Butyrivibrio crossotus DSM 2876	Gp0003344	Ga0028119		Human fecal
Bacteria	Permanent Draft	Campylobacter sp. 10_1_50	Gp0003170	Ga0009652	8786	Human intestinal microflora
Bacteria	Permanent Draft	Catenibacterium mitsuokai DSM 15897	Gp0001956	Ga0028221		Human fecal
Bacteria	Permanent Draft	"Cedecea davisae 005, DSM 4568"	Gp0003345	Ga0016955	20463	Human fecal
Bacteria	Permanent Draft	Cellulomonas massiliensis JC225	Gp0020510	Ga0019652	23739	Human fecal
Bacteria	Permanent Draft	Cetobacterium somerae ATCC BAA-474	Gp0003358	Ga0023162	30318	Human fecal
Bacteria	Permanent Draft	Citrobacter freundii 4_7_47CFAA	Gp0006516	Ga0009620	8754	Human fecal
Bacteria	Permanent Draft	Citrobacter sp. 30_2	Gp0003361	Ga0028303		Human fecal
Bacteria	Permanent Draft	Citrobacter youngae ATCC 29220	Gp0003360	Ga0024047	35396	Human fecal
Bacteria	Draft	Clostridioides difficile 630 (CDIF13)	Gp0103179	Ga0058002	46835	Human feces
Bacteria	Permanent Draft	Clostridioides difficile CD37	Gp0016858	Ga0020272	24272	Human gastrointestinal tract
Bacteria	Permanent Draft	Clostridioides difficile NAP07	Gp0004046	Ga0028347		Human fecal
Bacteria	Permanent Draft	Clostridioides difficile NAP08	Gp0004090	Ga0028348		Human fecal
Bacteria	Permanent Draft	Clostridioides difficile P15	Gp0020102	Ga0017368	20883	Human fecal
Bacteria	Permanent Draft	Clostridioides difficile P29	Gp0019649	Ga0017376	20891	Human fecal
Bacteria	Permanent Draft	Clostridioides difficile P30	Gp0019650	Ga0017377	20892	Human fecal
Bacteria	Permanent Draft	Clostridium asparagiforme DSM 15981	Gp0003363	Ga0028313		Human fecal
Bacteria	Permanent Draft	Clostridium bolteae ATCC BAA-613	Gp0000896	Ga0028316		Human intestinal microflora
Bacteria	Permanent Draft	Clostridium bolteae WAL-14578 JGI Assembly and Annotation	Gp0006799	Ga0064061	57483	Human intestinal microflora
Bacteria	Permanent Draft	Clostridium celatum DSM 1785	Gp0003362	Ga0012822	14213	Human fecal
Bacteria	Permanent Draft	Clostridium citroniae WAL-17108	Gp0006805	Ga0009712	8857	Human intestinal microflora
Bacteria	Permanent Draft	Clostridium citroniae WAL-19142	Gp0006786	Ga0081890	72005	Human intestinal microflora
Bacteria	Permanent Draft	Clostridium clostridioforme 2_1_49FAA	Gp0006780	Ga0009669	8804	Human intestinal microflora
Bacteria	Permanent Draft	Clostridium clostridioforme WAL-7855	Gp0006791	Ga0081891	78024	Human intestinal microflora
Bacteria	Permanent Draft	Clostridium hiranonis TO-931 DSM 13275	Gp0003365	Ga0028358		Human intestinal microflora
Bacteria	Permanent Draft	Clostridium hylemonae DSM 15053	Gp0004083	Ga0028359		Human intestinal microflora
Bacteria	Permanent Draft	Clostridium leptum DSM 753	Gp0002246	Ga0028363		Human intestinal microflora
Bacteria	Permanent Draft	"Clostridium methylpentosum R2, DSM 5476"	Gp0003366	Ga0028365		Human intestinal microflora
Bacteria	Permanent Draft	Clostridium orbiscindens 1_3_50AFAA	Gp0006776	Ga0062113	54429	Human intestinal microflora
Bacteria	Permanent Draft	Clostridium perfringens WAL-14572	Gp0006797	Ga0016228	19233	Human intestinal microflora
Bacteria	Finished	"Clostridium saccharolyticum WM1, DSM 2544"	Gp0003567	Ga0028380		Human intestinal microflora
Bacteria	Permanent Draft	Clostridium scindens ATCC 35704	Gp0000897	Ga0028381		Human intestinal microflora
Bacteria	Permanent Draft	Clostridium sp M62/1	Gp0000903	Ga0024033	35382	Human intestinal microflora
Bacteria	Permanent Draft	Clostridium sp. 1_1_41A1FAA	Gp0005410	Ga0081885	78755	Human intestinal microflora
Bacteria	Permanent Draft	Clostridium sp. 7_3_54FAA	Gp0003274	Ga0009719	8864	Human intestinal microflora
Bacteria	Permanent Draft	Clostridium sp. HGF2	Gp0006510	Ga0028384		Human intestinal microflora
Bacteria	Permanent Draft	Clostridium sp. L2-50	Gp0000902	Ga0028385		Human intestinal microflora
Bacteria	Permanent Draft	Clostridium sp. SS2/1	Gp0000904	Ga0028386		Human intestinal microflora
Bacteria	Permanent Draft	Clostridium sphenoides ATCC 19403	Gp0032325	Ga0002393	88507	Human gastrointestinal tract
Bacteria	Permanent Draft	Clostridium spiroforme DSM 1552	Gp0000898	Ga0028388		Human intestinal microflora
Bacteria	Permanent Draft	Clostridium sporogenes ATCC 15579	Gp0000885	Ga0028389		Human intestinal microflora
Bacteria	Permanent Draft	Clostridium symbiosum ATCC 14940	Gp0000899	Ga0038532	54874	Human intestinal microflora
Bacteria	Permanent Draft	Clostridium symbiosum WAL-14163	Gp0006806	Ga0028391		Human intestinal microflora
Bacteria	Permanent Draft	Clostridium symbiosum WAL-14673	Gp0006807	Ga0028392		Human intestinal microflora
Bacteria	Permanent Draft	Collinsella aerofaciens ATCC 25986	Gp0000880	Ga0028400		Human intestinal microflora
Bacteria	Permanent Draft	Collinsella sp. 4_8_47FAA	Gp0006773	Ga0062114	54430	Human fecal
Bacteria	Permanent Draft	Collinsella tanakaei YIT 12063	Gp0006548	Ga0009697	8840	Human fecal
Bacteria	Finished	Coprococcus catus GD/7	Gp0004337	Ga0028408		Human intestinal microflora
Bacteria	Permanent Draft	Coprococcus comes ATCC 27758	Gp0000906	Ga0028409		Human intestinal microflora
Bacteria	Permanent Draft	Coprococcus eutactus ATCC 27759	Gp0000905	Ga0028410		Human intestinal microflora
Bacteria	Finished	Coprococcus sp. ART55/1	Gp0004338	Ga0032088	36458	Human intestinal microflora
Bacteria	Permanent Draft	Corynebacterium appendicis CIP 107643	Gp0019390	Ga0010323	7592	Human intestinal microflora
Bacteria	Permanent Draft	Desulfitobacterium hafniense DP7 (draft 151 contigs)	Gp0003713	Ga0012608	13315	Human fecal
Bacteria	Permanent Draft	Desulfovibrio piger ATCC 29098	Gp0000920	Ga0028516		Human fecal
Bacteria	Permanent Draft	Dialister succinatiphilus YIT 11850	Gp0006566	Ga0009702	8845	Human intestinal microflora
Bacteria	Permanent Draft	Dielma fastidiosa JC118	Gp0017855	Ga0019645	23732	Human fecal
Bacteria	Permanent Draft	Dorea formicigenerans ATCC 27755	Gp0000907	Ga0028543		Human intestinal microflora
Bacteria	Permanent Draft	Dorea longicatena DSM 13814	Gp0000909	Ga0028544		Human intestinal microflora
Bacteria	Permanent Draft	Edwardsiella tarda 080813	Gp0005225	Ga0019704	23793	Human intestinal microflora
Bacteria	Permanent Draft	Edwardsiella tarda ATCC 15947	Gp0005277	Ga0019705	23794	Human intestinal microflora
Bacteria	Permanent Draft	Edwardsiella tarda ATCC 23685	Gp0003503	Ga0028562		Human intestinal microflora
Bacteria	Finished	Edwardsiella tarda EIB202	Gp0003228	Ga0028563		Human intestinal microflora
Bacteria	Finished	Edwardsiella tarda FL6-60	Gp0007150	Ga0028564		Human intestinal microflora
Bacteria	Permanent Draft	Enorma massiliensis phI	Gp0017129	Ga0019650	23737	Human fecal
Bacteria	Permanent Draft	Enterobacter cancerogenus ATCC 35316	Gp0003504	Ga0024101	35451	Human intestinal microflora
Bacteria	Finished	Enterobacter cloacae cloacae ATCC 13047	Gp0006802	Ga0028584		Human intestinal microflora
Bacteria	Permanent Draft	Enterobacter cloacae cloacae ATCC 13047	Gp0093653	Ga0070822	69609	Human intestinal microflora
Bacteria	Finished	Enterobacter cloacae cloacae NCTC 9394	Gp0006183	Ga0028585		Human intestinal microflora
Bacteria	Permanent Draft	Enterobacter massiliensis JC163	Gp0012776	Ga0019613	23700	Human fecal
Bacteria	Permanent Draft	Enterococcus faecalis TUSoD Ef11	Gp0005537	Ga0024102	35452	Human intestinal microflora
Bacteria	Permanent Draft	"Enterococcus faecium 1,141,733"	Gp0004662	Ga0028632		Human intestinal microflora
Bacteria	Permanent Draft	"Enterococcus faecium 1,231,501"	Gp0004563	Ga0028636		Human intestinal microflora
Bacteria	Permanent Draft	Enterococcus faecium Com12	Gp0004660	Ga0028639		Human intestinal microflora
Bacteria	Permanent Draft	Enterococcus faecium PC4.1	Gp0006694	Ga0028611		Human intestinal microflora
Bacteria	Permanent Draft	Enterococcus saccharolyticus 30_1	Gp0006815	Ga0009668	8803	Human intestinal microflora
Bacteria	Permanent Draft	Erysipelatoclostridium ramosum DSM 1402	Gp0001158	Ga0028379		Human gastrointestinal tract
Bacteria	Finished	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	Gp0005034	Ga0028706		Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli 101-1	Gp0001415	Ga0028691		Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli 2534-86	Gp0007792	Ga0015527	18532	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli 541-1	Gp0007641	Ga0014285	17290	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli 541-15	Gp0007497	Ga0015670	18676	Human intestinal microflora
Bacteria	Finished	Escherichia coli 55989	Gp0001401	Ga0028695		Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli 75	Gp0007487	Ga0014286	17291	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli 83972	Gp0004548	Ga0028696		Human intestinal microflora
Bacteria	Finished	Escherichia coli ABU 83972	Gp0005125	Ga0028697		Human intestinal microflora
Bacteria	Finished	Escherichia coli AIEC UM146	Gp0007883	Ga0028781		Human intestinal microflora
Bacteria	Finished	Escherichia coli B REL606	Gp0002253	Ga0028700		Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli B093	Gp0006827	Ga0014056	17057	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli B108	Gp0006828	Ga0017076	20588	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli B799	Gp0006862	Ga0013923	16924	Human intestinal microflora
Bacteria	Finished	Escherichia coli B7A	Gp0095288	Ga0058056	46886	Human intestinal microflora
Bacteria	Finished	Escherichia coli BL21 (DE3)	Gp0001402	Ga0028708		Human intestinal microflora
Bacteria	Finished	Escherichia coli BL21 (DE3)	Gp0004808	Ga0028707		Human intestinal microflora
Bacteria	Draft	Escherichia coli BL21 (DE3) (test1)	Gp0021028	Ga0010285	8933	Human intestinal microflora
Bacteria	Finished	Escherichia coli BW25113	Gp0103387	Ga0058822	54890	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli BW25113	Gp0102184	Ga0058673	63521	Human intestinal microflora
Bacteria	Finished	Escherichia coli BW2952	Gp0005046	Ga0028709		Human intestinal microflora
Bacteria	Finished	Escherichia coli clone D i14	Gp0008927	Ga0009322	7450	Human intestinal microflora
Bacteria	Finished	Escherichia coli clone D i2	Gp0008596	Ga0009460	7479	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli cloneA_i1	Gp0010511	Ga0016482	19487	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC10A	Gp0008042	Ga0013161	15121	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC10B	Gp0008081	Ga0013162	15122	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC10C	Gp0008082	Ga0013159	15119	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC10D	Gp0008183	Ga0013160	15120	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC10E	Gp0008184	Ga0013157	15117	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC10F	Gp0008208	Ga0013158	15118	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC11A	Gp0008209	Ga0013164	15124	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC11B	Gp0008210	Ga0013165	15125	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC11C	Gp0008083	Ga0013126	15086	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC11D	Gp0008084	Ga0013125	15085	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC11E	Gp0008085	Ga0015223	18226	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC12A	Gp0008086	Ga0013127	15087	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC12B	Gp0008087	Ga0013129	15089	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC12C	Gp0008211	Ga0013128	15088	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC12D	Gp0007984	Ga0013130	15090	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC12E	Gp0008212	Ga0015224	18227	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC13A	Gp0007921	Ga0013124	15084	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC13B	Gp0007920	Ga0015222	18225	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC13C	Gp0008213	Ga0013094	15054	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC13D	Gp0008214	Ga0013095	15055	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC13E	Gp0008088	Ga0013777	16778	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC14A	Gp0007922	Ga0013096	15056	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC14B	Gp0008215	Ga0013775	16776	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC14C	Gp0008216	Ga0013776	16777	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC14D	Gp0008217	Ga0013093	15053	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC15A	Gp0008089	Ga0013091	15051	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC15B	Gp0008219	Ga0013092	15052	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC15C	Gp0008090	Ga0012297	12741	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC15D	Gp0008091	Ga0012296	12740	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC15E	Gp0008123	Ga0012295	12739	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC1A	Gp0007884	Ga0013964	16965	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC1B	Gp0007885	Ga0013962	16963	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC1C	Gp0007886	Ga0013963	16964	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC1D	Gp0007887	Ga0013960	16961	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC1E	Gp0007912	Ga0013961	16962	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC2A	Gp0007888	Ga0014081	17082	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC2B	Gp0007889	Ga0014082	17083	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC2C	Gp0007890	Ga0014079	17080	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC2D	Gp0007913	Ga0014080	17081	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC2E	Gp0007891	Ga0014085	17086	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC3A	Gp0007892	Ga0014086	17087	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC3B	Gp0007915	Ga0014084	17085	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC3C	Gp0007914	Ga0014083	17084	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC3D	Gp0007916	Ga0014077	17078	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC3E	Gp0007893	Ga0014078	17079	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC3F	Gp0007894	Ga0015388	18392	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC4A	Gp0007895	Ga0015387	18391	Human intestinal microflora
Bacteria	Permanent Draft	Escherichia coli DEC4B	Gp0007924	Ga0015390	18394	Human intestinal microflora
